,player_name,player_id,season,poss,mp,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
0,Alex Abrines,abrinal01,2017,2387,1135,0.543421233,-1.14483179,-0.601410556,1.249007678,1.4477081219999999,-0.19870044399999998,0.07710201,-1.038677268,-0.961575257,0.326412665
1,Alex Abrines,abrinal01,2018,2546,1244,-0.020825876,-1.50264169,-1.5234675659999999,0.77730446,0.465912151,0.311392309,-0.17462116600000002,-1.112625391,-1.2872465579999999,-0.456141151
2,Alex Abrines,abrinal01,2019,1279,588,-4.040156587,1.885618356,-2.1545382319999997,0.17816732,0.17816732,0.0,-4.577677598999999,1.5432817330000002,-3.034395865,-0.268013102
3,Quincy Acy,acyqu01,2014,1716,847,-1.565257149,-0.216476793,-1.7817339419999998,0.41591808399999997,0.41591808399999997,0.0,-1.46441703,-0.223754299,-1.688171329,-0.554897683
4,Quincy Acy,acyqu01,2015,2517,1287,-2.456064586,-0.420948055,-2.8770126410000003,-0.083312615,-0.083312615,0.0,-2.7972240289999997,-1.648024182,-4.44524821,-0.100453505
5,Quincy Acy,acyqu01,2016,1852,876,-0.58754047,0.353933379,-0.23360709100000002,1.123479142,1.123479142,0.0,-1.4061077380000002,0.021970053,-1.384137685,-0.102988345
6,Quincy Acy,acyqu01,2017,1169,558,-0.343630331,0.576149899,0.232519568,0.835632018,0.835632018,0.0,-0.9220874809999999,-0.059176987,-0.981264468,0.125008446
7,Quincy Acy,acyqu01,2018,2856,1359,-2.2081824269999997,-0.658814194,-2.866996621,-0.08123232,-0.08123232,0.0,-1.826813152,-0.890246236,-2.717059388,0.13613926199999998
8,Quincy Acy,acyqu01,2019,278,123,-5.581744442000001,4.969011211000001,-0.612733231,0.135231411,0.135231411,0.0,-5.877810864,2.4957483419999997,-3.382062522,0.8419807859999999
9,Jaylen Adams,adamsja01,2019,952,428,-2.377643964,-3.734729095,-6.112373058999999,-0.733513242,-0.733513242,0.0,-2.0231453090000002,-4.304853077,-6.327998386,-0.09901821400000001
10,Jaylen Adams,adamsja01,2020,43,21,6.207690337355079,7.656297990858951,13.863988328213999,0.18028881579138,0.0,0.18028881579138,3.98969773386504,3.5119230369467096,7.5016207708117495,-1.78496719774151
11,Jordan Adams,adamsjo01,2015,518,258,2.095889849,0.518037995,2.613927843,0.7150045859999999,0.591480559,0.123524027,0.7170854409999999,1.2402865790000002,1.95737202,0.689145957
12,Jordan Adams,adamsjo01,2016,34,15,-7.734475447,1.4177346769999999,-6.31674077,-0.028101725,-0.028101725,0.0,-6.124879997000001,4.675153283999999,-1.4497267130000002,2.8832090160000003
13,Steven Adams,adamsst01,2014,3078,1528,-1.4773075119999999,-0.30011631899999996,-1.777423832,0.741983669,1.087876915,-0.345893247,-1.739690093,1.022961561,-0.7167285320000001,-0.07688549900000001
14,Steven Adams,adamsst01,2015,3537,1771,-1.859905727,1.972597164,0.112691438,2.569431836,2.569431836,0.0,-2.254183977,1.950513493,-0.30367048399999996,-0.637424446
15,Steven Adams,adamsst01,2016,5203,2567,1.305029655,4.157908948,5.462938603,10.71133281,8.899270344,1.8120624680000001,1.905361444,3.711730317,5.617091761,-0.8079269170000001
16,Steven Adams,adamsst01,2017,5279,2546,-1.626024544,1.772211917,0.146187373,3.7758581110000002,3.1437114060000004,0.632146706,-1.6317195569999998,2.405590986,0.773871429,-0.0067700040000000005
17,Steven Adams,adamsst01,2018,5530,2687,1.467602698,1.140201316,2.607804014,7.34142524,6.779274475,0.562150765,1.496105161,1.5786657869999998,3.074770949,-0.278540995
18,Steven Adams,adamsst01,2019,6164,2828,-0.071750204,1.875017591,1.8032673869999998,6.601450742000001,6.428883158,0.172567584,-0.447206789,2.972406085,2.525199297,0.49795228700000005
19,Steven Adams,adamsst01,2020,3964,1890,0.315796723292598,1.6574079584162802,1.9732046817088797,4.542774676869441,4.329822987094009,0.21295168977542803,-0.45857473829268003,1.6328392501018603,1.17426451180918,-0.44522444639248704
20,Bam Adebayo,adebaba01,2018,2921,1445,-2.219373354,1.039458046,-1.179915308,1.172123132,1.3488689619999998,-0.17674583,-2.7198287839999997,0.461893641,-2.257935143,-0.812342362
21,Bam Adebayo,adebaba01,2019,3965,1913,-1.875309771,2.676011508,0.800701737,3.451223821,3.451223821,0.0,-2.152282678,2.278351869,0.126069191,-0.420701969
22,Bam Adebayo,adebaba01,2020,6336,3104,-0.10394862330883801,2.22665220349944,2.12270358019061,7.75591618685973,5.31119544361889,2.4447207432408398,0.722645022907625,1.48039137540026,2.20303639830788,-0.649094719939067
23,Deng Adel,adelde01,2019,391,194,-6.33371243,0.5588831089999999,-5.774829321,-0.29588577,-0.29588577,0.0,-6.2241521529999995,-2.111308565,-8.335460717,-1.194190583
24,Jeff Adrien,adrieje01,2014,1908,961,0.164665749,-2.104197284,-1.939531535,0.391857954,0.391857954,0.0,-0.755613773,-1.681563346,-2.4371771190000002,-0.370574985
25,Jeff Adrien,adrieje01,2015,442,215,-1.0416144379999999,0.917083263,-0.124531175,0.28829406399999996,0.28829406399999996,0.0,-1.6672302940000001,-0.439532817,-2.106763111,0.09939639199999999
26,Arron Afflalo,afflaar01,2014,5047,2552,1.22425804,-3.02318616,-1.79892812,1.231903915,1.231903915,0.0,0.411376476,-2.7718311960000004,-2.3604547190000003,-0.49730894
27,Arron Afflalo,afflaar01,2015,5125,2562,-0.985917143,-1.673151448,-2.659068591,0.097940159,0.5198025479999999,-0.421862388,-1.4427682119999998,-1.319810011,-2.762578223,-0.6740475690000001
