slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
thorpot01,Otis Thorpe,POWER FORWARD,35,VANCOUVER GRIZZLIES,47,1574,13.0,0.523,0.009,0.395,7.3,19.7,13.6,16.3,1.0,1.0,18.6,17.5,0.9,0.4,1.4,0.041,-1.4,-1.0,-2.4,-0.2,False
thorpot01,Otis Thorpe,POWER FORWARD,35,SACRAMENTO KINGS,27,623,14.4,0.498,0.005,0.361,8.9,21.0,14.8,16.1,1.5,0.8,14.1,18.7,0.5,0.7,1.1,0.088,-1.3,0.1,-1.2,0.1,False
trentga01,Gary Trent,POWER FORWARD,23,PORTLAND TRAIL BLAZERS,41,1005,16.7,0.547,0.025,0.454,9.6,17.2,13.5,10.5,1.4,1.4,14.3,22.6,1.4,1.4,2.8,0.135,0.3,0.5,0.8,0.7,False
trentga01,Gary Trent,POWER FORWARD,23,TORONTO RAPTORS,13,355,14.9,0.474,0.021,0.336,13.1,20.0,16.4,7.0,1.2,1.6,11.6,23.4,0.1,0.1,0.3,0.039,-1.6,-3.5,-5.2,-0.3,False
vanexni01,Nick Van Exel,POINT GUARD,26,LOS ANGELES LAKERS,64,2053,17.8,0.538,0.425,0.231,1.8,8.8,5.3,33.5,1.6,0.2,11.3,19.8,5.6,1.5,7.1,0.166,3.7,-1.0,2.7,2.4,False
vanhoke01,Keith Van Horn,POWER FORWARD,22,NEW JERSEY NETS,62,2325,15.7,0.516,0.214,0.291,6.6,14.1,10.1,7.9,1.5,0.8,12.2,25.2,3.2,1.6,4.8,0.098,0.7,-1.6,-0.8,0.7,False
vaughda02,David Vaughn,POWER FORWARD,24,GOLDEN STATE WARRIORS,22,322,10.8,0.442,0.009,0.298,11.0,23.2,16.9,9.7,1.6,1.3,19.4,21.7,-0.5,0.4,0.0,-0.002,-4.9,-0.6,-5.5,-0.3,False
vaughda02,David Vaughn,POWER FORWARD,24,CHICAGO BULLS,3,6,23.3,0.725,0.0,4.0,0.0,19.2,9.5,0.0,0.0,0.0,0.0,20.6,0.0,0.0,0.0,0.315,3.8,1.9,5.7,0.0,False
vaughda02,David Vaughn,POWER FORWARD,24,NEW JERSEY NETS,15,161,12.1,0.595,0.0,0.273,12.8,23.0,17.6,1.9,1.6,1.8,19.6,12.4,0.2,0.2,0.4,0.114,-3.3,-0.5,-3.8,-0.1,False
vaughja01,Jacque Vaughn,POINT GUARD,22,UTAH JAZZ,45,419,6.9,0.457,0.066,0.557,1.3,9.5,5.6,30.8,1.2,0.2,26.9,23.0,-0.6,0.2,-0.4,-0.048,-5.1,-2.4,-7.6,-0.6,False
vaughlo01,Loy Vaught,POWER FORWARD,29,LOS ANGELES CLIPPERS,10,265,7.8,0.428,0.024,0.095,6.8,21.2,14.0,4.4,0.8,0.5,12.9,16.8,-0.2,0.1,-0.2,-0.029,-4.5,-2.6,-7.1,-0.3,False
vrankst01,Stojko Vranković,CENTER,34,LOS ANGELES CLIPPERS,65,996,9.4,0.454,0.0,0.349,8.0,22.1,15.0,5.5,0.6,4.4,17.7,11.6,-0.2,0.6,0.4,0.02,-3.9,0.0,-3.9,-0.5,False
walkean02,Antoine Walker,POWER FORWARD,21,BOSTON CELTICS,82,3268,17.8,0.481,0.171,0.277,9.0,22.3,15.1,15.4,2.2,1.4,13.2,29.2,0.8,4.0,4.7,0.07,1.6,-1.0,0.6,2.2,False
walkesa01,Samaki Walker,POWER FORWARD,21,DALLAS MAVERICKS,41,1027,14.4,0.502,0.003,0.302,10.2,22.8,16.4,4.1,1.6,2.7,14.4,18.9,0.1,1.3,1.4,0.067,-2.8,-0.6,-3.4,-0.4,False
wallabe01,Ben Wallace,CENTER,23,WASHINGTON WIZARDS,67,1124,13.4,0.495,0.0,0.598,11.0,22.2,16.4,2.3,2.8,4.6,11.9,9.3,0.8,2.2,2.9,0.125,-1.6,2.3,0.7,0.8,False
wallajo01,John Wallace,SMALL FORWARD,23,TORONTO RAPTORS,82,2361,14.8,0.518,0.002,0.299,5.3,12.6,8.9,8.5,1.4,2.9,13.4,23.8,1.1,0.5,1.5,0.031,-1.1,-1.9,-3.0,-0.6,False
wallara01,Rasheed Wallace,POWER FORWARD,23,PORTLAND TRAIL BLAZERS,77,2896,14.9,0.564,0.045,0.318,5.5,13.4,9.6,11.9,1.4,2.2,14.3,18.2,3.8,3.8,7.6,0.125,0.1,1.1,1.2,2.4,False
waltere01,Rex Walters,SHOOTING GUARD,27,PHILADELPHIA 76ERS,19,127,9.7,0.576,0.483,0.586,2.7,5.5,4.1,26.2,2.1,0.0,31.8,18.9,0.0,0.1,0.1,0.022,-2.7,-0.9,-3.6,-0.1,False
waltere01,Rex Walters,SHOOTING GUARD,27,MIAMI HEAT,19,108,14.2,0.659,0.333,0.458,2.2,13.7,8.1,21.6,1.5,0.7,25.7,16.8,0.2,0.1,0.3,0.134,-0.4,1.1,0.7,0.1,False
wardch01,Charlie Ward,POINT GUARD,27,NEW YORK KNICKS,82,2317,15.6,0.567,0.417,0.219,1.7,12.6,7.1,32.4,3.4,1.2,23.6,15.0,2.6,4.5,7.1,0.148,0.7,3.4,4.1,3.6,False
washier01,Eric Washington,SHOOTING GUARD,23,DENVER NUGGETS,66,1539,9.6,0.478,0.275,0.167,3.5,6.3,4.9,9.3,1.8,1.2,11.9,17.9,-0.1,-0.2,-0.3,-0.008,-2.3,-1.7,-4.1,-0.8,False
weathcl01,Clarence Weatherspoon,POWER FORWARD,27,PHILADELPHIA 76ERS,48,1290,13.7,0.497,0.0,0.526,9.6,20.4,15.0,5.1,1.8,3.0,14.5,16.6,0.7,1.7,2.3,0.087,-1.4,-0.2,-1.6,0.1,False
weathcl01,Clarence Weatherspoon,POWER FORWARD,27,GOLDEN STATE WARRIORS,31,1035,14.4,0.513,0.0,0.372,8.9,18.0,13.3,8.0,2.1,1.5,13.4,15.7,0.9,1.3,2.2,0.101,-0.9,1.0,0.1,0.6,False
webbsp01,Spud Webb,POINT GUARD,34,ORLANDO MAGIC,4,34,3.2,0.466,0.083,0.167,6.8,3.5,5.2,26.7,1.6,0.0,35.2,26.8,-0.1,0.0,-0.1,-0.161,-9.1,-2.4,-11.4,-0.1,False
webbech01,Chris Webber,CENTER,24,WASHINGTON WIZARDS,71,2809,20.9,0.523,0.153,0.248,6.9,20.8,13.7,17.8,2.1,3.1,11.1,26.5,3.9,4.4,8.3,0.142,2.9,1.7,4.6,4.7,False
wellsbu01,Bubba Wells,SHOOTING GUARD,23,DALLAS MAVERICKS,39,395,11.1,0.474,0.052,0.371,6.1,13.2,9.6,14.3,2.0,0.7,18.7,19.2,-0.2,0.3,0.1,0.013,-3.1,-0.5,-3.5,-0.2,False
wennibi01,Bill Wennington,CENTER,34,CHICAGO BULLS,48,467,9.4,0.461,0.0,0.122,7.8,11.8,9.8,6.7,0.5,0.8,8.1,18.9,0.3,0.6,0.8,0.085,-4.9,-1.4,-6.2,-0.5,False
wesleda01,David Wesley,POINT GUARD,27,CHARLOTTE HORNETS,81,2845,15.2,0.532,0.197,0.333,2.1,6.9,4.5,30.2,2.6,0.8,18.6,19.8,3.3,2.5,5.8,0.098,0.6,0.1,0.7,1.9,False
westdo01,Doug West,SHOOTING GUARD,30,MINNESOTA TIMBERWOLVES,38,688,5.6,0.416,0.012,0.234,3.8,9.6,6.8,9.4,0.8,0.5,10.0,13.5,-0.2,0.2,0.1,0.004,-5.0,-1.1,-6.0,-0.7,False
westma01,Mark West,CENTER,37,INDIANA PACERS,15,105,5.1,0.486,0.0,0.286,7.2,9.8,8.6,3.0,1.0,2.7,25.3,14.3,-0.1,0.1,0.0,-0.002,-5.8,0.3,-5.5,-0.1,False
wheatde01,DeJuan Wheat,POINT GUARD,24,MINNESOTA TIMBERWOLVES,34,150,13.5,0.504,0.34,0.3,2.3,6.0,4.2,25.3,2.1,0.5,13.7,19.4,0.2,0.1,0.2,0.072,0.9,-0.9,0.0,0.1,False
whitedo01,Donald Whiteside,POINT GUARD,28,ATLANTA HAWKS,3,16,0.7,0.347,0.5,1.0,0.0,7.1,3.7,9.4,0.0,0.0,25.8,11.2,0.0,0.0,0.0,-0.12,-5.4,-2.3,-7.7,0.0,False
whitnch01,Chris Whitney,POINT GUARD,26,WASHINGTON WIZARDS,82,1073,14.8,0.512,0.476,0.363,1.6,10.8,6.1,27.7,1.7,0.4,13.6,19.7,1.8,0.9,2.7,0.12,0.5,-0.2,0.3,0.6,False
wilkige01,Gerald Wilkins,SHOOTING GUARD,34,ORLANDO MAGIC,72,1252,5.4,0.398,0.251,0.226,1.5,7.1,4.2,10.6,1.5,0.3,14.2,20.4,-2.1,0.9,-1.2,-0.048,-5.4,-1.2,-6.6,-1.5,False
williaa01,Aaron Williams,POWER FORWARD,26,SEATTLE SUPERSONICS,65,757,13.4,0.575,0.005,0.386,7.7,15.4,11.6,3.0,1.3,3.8,16.3,18.8,0.7,1.0,1.7,0.105,-3.1,-0.2,-3.3,-0.2,False
willial02,Alvin Williams,SHOOTING GUARD,23,PORTLAND TRAIL BLAZERS,41,864,11.0,0.519,0.101,0.332,2.7,5.3,4.0,16.0,1.9,0.2,15.5,16.9,0.6,0.8,1.4,0.075,-2.1,0.3,-1.8,0.0,False
willial02,Alvin Williams,SHOOTING GUARD,23,TORONTO RAPTORS,13,207,7.3,0.42,0.091,0.25,2.6,9.0,5.7,14.5,2.0,0.3,14.1,12.0,0.0,0.0,0.0,-0.009,-4.4,-1.4,-5.8,-0.2,False
willibr01,Brandon Williams,SHOOTING GUARD,22,GOLDEN STATE WARRIORS,9,140,2.9,0.357,0.18,0.08,3.0,8.6,5.7,3.6,2.2,1.5,14.8,18.9,-0.4,0.1,-0.3,-0.089,-8.1,-0.9,-9.1,-0.3,False
willibu01,Buck Williams,POWER FORWARD,37,NEW YORK KNICKS,41,738,12.3,0.56,0.0,0.477,12.6,17.2,14.9,4.6,1.3,1.6,17.4,13.9,0.9,1.2,2.1,0.135,-1.7,0.5,-1.2,0.2,False
willier01,Eric Williams,SMALL FORWARD,25,DENVER NUGGETS,4,145,17.0,0.489,0.0,0.738,7.9,9.2,8.5,16.1,1.5,0.0,10.0,28.2,0.2,0.0,0.1,0.048,2.2,-2.5,-0.2,0.1,False
willihe01,Herb Williams,POWER FORWARD,39,NEW YORK KNICKS,27,178,6.1,0.398,0.0,0.186,4.0,15.6,9.8,3.6,1.8,3.9,9.7,13.6,-0.2,0.3,0.2,0.041,-6.7,2.6,-4.2,-0.1,False
williho01,Hot Rod Williams,CENTER,35,PHOENIX SUNS,71,1333,11.5,0.525,0.0,0.46,9.6,17.5,13.7,5.1,1.3,3.3,10.7,9.2,1.7,2.1,3.7,0.135,-1.6,1.3,-0.2,0.6,False
willija01,Jayson Williams,CENTER,29,NEW JERSEY NETS,65,2343,18.7,0.541,0.006,0.454,20.5,23.2,21.8,4.5,1.0,1.5,10.9,16.1,6.1,2.3,8.4,0.172,2.3,-2.0,0.3,1.4,False
willije01,Jerome Williams,POWER FORWARD,24,DETROIT PISTONS,77,1305,16.3,0.568,0.003,0.576,15.4,19.2,17.3,6.1,2.1,0.6,14.3,15.0,2.6,1.9,4.5,0.166,0.7,-0.1,0.6,0.9,False
willilo01,Lorenzo Williams,POWER FORWARD,28,WASHINGTON WIZARDS,14,111,14.1,0.727,0.0,0.118,15.9,10.6,13.3,4.1,0.9,1.9,10.1,8.0,0.3,0.1,0.4,0.169,-0.4,-0.3,-0.7,0.0,False
willimi02,Micheal Williams,POINT GUARD,31,MINNESOTA TIMBERWOLVES,25,161,13.9,0.512,0.083,0.688,1.4,8.4,4.9,28.7,2.9,0.9,20.4,21.7,0.1,0.1,0.3,0.08,-2.4,0.5,-1.9,0.0,False
willimo01,Monty Williams,SMALL FORWARD,26,SAN ANTONIO SPURS,72,1314,11.3,0.505,0.005,0.495,6.3,9.2,7.9,11.2,1.4,1.3,15.5,18.9,0.5,1.9,2.3,0.086,-2.5,0.6,-1.9,0.0,False
willisc01,Scott Williams,CENTER,29,PHILADELPHIA 76ERS,58,801,12.1,0.492,0.023,0.296,12.4,17.9,15.1,6.0,1.1,1.9,11.1,15.2,0.9,0.8,1.7,0.101,-2.6,-0.9,-3.5,-0.3,False
willitr01,Travis Williams,SMALL FORWARD,28,CHARLOTTE HORNETS,39,365,13.7,0.488,0.008,0.387,17.7,12.8,15.2,9.2,2.6,1.0,17.7,21.4,0.1,0.4,0.5,0.065,-2.3,-0.9,-3.2,-0.1,False
williwa02,Walt Williams,SMALL FORWARD,27,TORONTO RAPTORS,28,876,13.0,0.504,0.404,0.188,3.3,12.1,7.5,13.1,2.4,1.8,13.1,19.9,0.5,0.3,0.8,0.044,-0.6,-0.5,-1.1,0.2,False
williwa02,Walt Williams,SMALL FORWARD,27,PORTLAND TRAIL BLAZERS,31,594,14.0,0.513,0.4,0.289,4.7,11.2,8.0,15.3,1.7,1.5,13.6,22.4,0.6,0.7,1.4,0.112,0.3,0.3,0.6,0.4,False
willico02,Corliss Williamson,SMALL FORWARD,24,SACRAMENTO KINGS,79,2819,16.0,0.527,0.008,0.391,6.3,11.5,8.8,14.8,1.4,1.2,13.0,24.1,2.6,1.8,4.4,0.076,0.4,-0.9,-0.4,1.1,False
willike02,Kevin Willis,POWER FORWARD,35,HOUSTON ROCKETS,81,2528,18.3,0.555,0.007,0.293,11.0,20.7,15.9,5.8,1.1,1.1,12.6,24.1,4.3,1.7,6.0,0.114,0.3,-2.2,-1.9,0.0,False
wingada01,David Wingate,SHOOTING GUARD,34,SEATTLE SUPERSONICS,58,546,8.6,0.491,0.05,0.207,4.2,12.9,8.6,10.4,2.1,0.4,19.5,16.1,-0.3,0.6,0.3,0.026,-3.8,-0.2,-3.9,-0.3,False
wingfdo01,Dontonio Wingfield,SMALL FORWARD,23,PORTLAND TRAIL BLAZERS,3,9,-7.1,0.129,0.0,0.667,26.8,24.9,25.8,0.0,0.0,0.0,20.5,24.6,-0.1,0.0,-0.1,-0.299,-15.2,-7.8,-22.9,0.0,False
wolfjo01,Joe Wolf,POWER FORWARD,33,DENVER NUGGETS,57,621,5.1,0.347,0.083,0.083,6.6,17.6,12.0,7.9,1.7,0.8,14.9,10.8,-0.7,0.2,-0.5,-0.037,-5.8,-0.8,-6.6,-0.7,False
wrighlo02,Lorenzen Wright,CENTER,22,LOS ANGELES CLIPPERS,69,2067,13.6,0.49,0.004,0.395,9.8,23.7,16.7,4.3,1.4,2.8,11.3,15.4,1.5,1.5,3.1,0.071,-1.9,-0.7,-2.6,-0.3,False
wrighsh01,Sharone Wright,CENTER,25,TORONTO RAPTORS,7,44,10.7,0.508,0.0,0.286,2.5,21.2,11.5,15.5,0.0,0.0,11.3,17.7,0.0,0.0,0.0,0.036,-3.8,-2.6,-6.4,-0.1,False
zidekge01,George Zídek,CENTER,24,DENVER NUGGETS,6,42,12.7,0.444,0.0,0.8,10.9,26.0,18.2,4.1,0.0,3.6,12.9,25.2,0.0,0.0,0.0,0.008,-3.8,-4.3,-8.1,-0.1,False
zidekge01,George Zídek,CENTER,24,SEATTLE SUPERSONICS,6,22,2.3,0.349,0.143,0.286,0.0,21.3,10.9,7.1,0.0,0.0,6.0,35.3,-0.1,0.0,-0.1,-0.12,-13.2,-6.4,-19.6,-0.1,False
