slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
rogerca01,Carlos Rogers,POWER FORWARD,26,PORTLAND TRAIL BLAZERS,3,25,8.1,0.5,0.25,0.0,4.8,4.5,4.7,12.4,2.1,0.0,20.0,9.1,0.0,0.0,0.0,0.057,-2.0,-1.1,-3.1,0.0,False
rogerro01,Rodney Rogers,SMALL FORWARD,26,LOS ANGELES CLIPPERS,76,2499,15.8,0.532,0.227,0.351,7.0,12.4,9.7,14.2,1.9,1.0,15.2,22.6,2.6,0.7,3.3,0.063,0.6,-1.5,-0.9,0.7,False
rogerro02,Roy Rogers,POWER FORWARD,24,BOSTON CELTICS,9,37,8.2,0.394,0.0,0.25,0.0,17.4,8.0,4.0,2.8,8.5,10.1,11.5,0.0,0.1,0.0,0.036,-5.2,3.4,-1.8,0.0,False
rogerro02,Roy Rogers,POWER FORWARD,24,TORONTO RAPTORS,6,69,3.9,0.346,0.0,0.235,12.5,6.8,9.7,2.2,0.8,4.0,17.6,14.5,-0.1,0.0,-0.1,-0.091,-7.2,-5.4,-12.6,-0.2,False
rooksse01,Sean Rooks,CENTER,28,LOS ANGELES LAKERS,41,425,13.4,0.512,0.0,0.782,12.6,18.7,15.7,8.2,0.2,3.7,12.3,16.0,0.7,0.5,1.1,0.13,-2.3,-0.7,-3.0,-0.1,False
roseja01,Jalen Rose,SMALL FORWARD,25,INDIANA PACERS,82,1706,14.1,0.545,0.12,0.376,2.1,11.2,6.9,16.0,1.8,0.6,15.7,23.4,1.1,2.2,3.3,0.092,-0.9,0.4,-0.6,0.6,False
rosema01,Malik Rose,POWER FORWARD,23,SAN ANTONIO SPURS,53,429,10.1,0.485,0.022,0.449,11.5,12.6,12.1,7.5,2.7,1.2,21.3,22.6,-0.4,0.8,0.4,0.044,-5.3,0.6,-4.8,-0.3,False
royaldo01,Donald Royal,SMALL FORWARD,31,ORLANDO MAGIC,2,18,-1.6,0.322,0.0,0.667,12.8,13.4,13.1,8.6,3.1,0.0,27.9,27.4,-0.1,0.0,-0.1,-0.199,-13.6,-2.0,-15.6,-0.1,False
royaldo01,Donald Royal,SMALL FORWARD,31,CHARLOTTE HORNETS,29,305,8.9,0.488,0.0,0.46,6.4,8.2,7.3,7.8,1.1,0.2,8.5,12.6,0.4,0.1,0.5,0.08,-2.3,-1.1,-3.3,-0.1,False
roziecl01,Clifford Rozier,CENTER,25,MINNESOTA TIMBERWOLVES,6,30,-1.7,0.466,0.0,0.167,11.5,11.2,11.4,0.0,0.0,0.0,38.3,15.5,-0.1,0.0,-0.1,-0.14,-11.7,-3.9,-15.5,-0.1,False
russebr01,Bryon Russell,SMALL FORWARD,27,UTAH JAZZ,82,2219,12.9,0.57,0.408,0.53,4.7,13.0,9.1,7.0,2.2,1.0,11.1,15.2,3.8,2.2,6.0,0.13,0.3,0.4,0.8,1.6,False
sabonar01,Arvydas Sabonis,CENTER,33,PORTLAND TRAIL BLAZERS,73,2333,20.9,0.581,0.139,0.49,7.7,27.9,18.2,16.9,1.5,2.5,15.9,23.2,5.1,4.6,9.7,0.2,2.2,2.2,4.4,3.8,False
salvake01,Kevin Salvadori,CENTER,27,SACRAMENTO KINGS,16,87,2.1,0.16,0.0,0.462,6.3,19.7,12.8,4.7,0.0,8.6,24.2,10.5,-0.3,0.1,-0.2,-0.099,-9.3,1.0,-8.3,-0.1,False
